"Stiffness of Suspension Kms (X)"					
"Kms (|X| < Xprot)"		"Kmt (|X| < Xprot)"		"Kmt (-X)"	
"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"	"X [mm]"	"Kms [N/mm]"
-0.853265	0.434046	-0.853265	1.77465	0.853265	1.77465
-0.841576	0.433231	-0.841576	1.77343	0.841576	1.77343
-0.829887	0.43244	-0.829887	1.77223	0.829887	1.77223
-0.818199	0.431672	-0.818199	1.77105	0.818199	1.77105
-0.80651	0.430927	-0.80651	1.76989	0.80651	1.76989
-0.794822	0.430203	-0.794822	1.76875	0.794822	1.76875
-0.783133	0.4295	-0.783133	1.76764	0.783133	1.76764
-0.771445	0.428817	-0.771445	1.76655	0.771445	1.76655
-0.759756	0.428155	-0.759756	1.76548	0.759756	1.76548
-0.748068	0.427511	-0.748068	1.76442	0.748068	1.76442
-0.736379	0.426887	-0.736379	1.76339	0.736379	1.76339
-0.72469	0.42628	-0.72469	1.76237	0.72469	1.76237
-0.713002	0.42569	-0.713002	1.76137	0.713002	1.76137
-0.701313	0.425118	-0.701313	1.76039	0.701313	1.76039
-0.689625	0.424561	-0.689625	1.75943	0.689625	1.75943
-0.677936	0.42402	-0.677936	1.75848	0.677936	1.75848
-0.666248	0.423495	-0.666248	1.75754	0.666248	1.75754
-0.654559	0.422983	-0.654559	1.75662	0.654559	1.75662
-0.642871	0.422486	-0.642871	1.75572	0.642871	1.75572
-0.631182	0.422002	-0.631182	1.75483	0.631182	1.75483
-0.619493	0.421531	-0.619493	1.75395	0.619493	1.75395
-0.607805	0.421073	-0.607805	1.75308	0.607805	1.75308
-0.596116	0.420626	-0.596116	1.75223	0.596116	1.75223
-0.584428	0.420191	-0.584428	1.75139	0.584428	1.75139
-0.572739	0.419766	-0.572739	1.75055	0.572739	1.75055
-0.561051	0.419352	-0.561051	1.74973	0.561051	1.74973
-0.549362	0.418948	-0.549362	1.74892	0.549362	1.74892
-0.537674	0.418553	-0.537674	1.74812	0.537674	1.74812
-0.525985	0.418168	-0.525985	1.74733	0.525985	1.74733
-0.514296	0.417791	-0.514296	1.74655	0.514296	1.74655
-0.502608	0.417422	-0.502608	1.74578	0.502608	1.74578
-0.490919	0.417061	-0.490919	1.74501	0.490919	1.74501
-0.479231	0.416707	-0.479231	1.74425	0.479231	1.74425
-0.467542	0.41636	-0.467542	1.7435	0.467542	1.7435
-0.455854	0.416019	-0.455854	1.74275	0.455854	1.74275
-0.444165	0.415684	-0.444165	1.74202	0.444165	1.74202
-0.432477	0.415355	-0.432477	1.74128	0.432477	1.74128
-0.420788	0.415032	-0.420788	1.74056	0.420788	1.74056
-0.409099	0.414713	-0.409099	1.73983	0.409099	1.73983
