"SPL Vertical"													
"On-Axis"		"10°"		"20°"		"30°"		"40°"		"50°"		"60°"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
9,189.7	55.597	9,189.7	55.1754	9,189.7	56.9517	9,189.7	64.0015	9,189.7	70.333	9,189.7	73.65	9,189.7	76.4429
9,848.88	57.2189	9,848.88	56.3565	9,848.88	53.6616	9,848.88	51.7238	9,848.88	64.8621	9,848.88	71.0345	9,848.88	73.4551
10,556.4	66.9418	10,556.4	67.9792	10,556.4	66.4554	10,556.4	60.7351	10,556.4	56.5934	10,556.4	68.9336	10,556.4	73.4722
11,313.7	69.8077	11,313.7	69.7243	11,313.7	69.4046	11,313.7	67.6165	11,313.7	61.9938	11,313.7	57.2084	11,313.7	65.8692
12,126	64.4765	12,126	66.512	12,126	68.0819	12,126	66.7328	12,126	64.722	12,126	62.3679	12,126	63.3717
12,996.1	62.1433	12,996.1	65.0811	12,996.1	66.0707	12,996.1	66.25	12,996.1	65.7953	12,996.1	65.247	12,996.1	65.9778
13,928.5	53.4723	13,928.5	54.8272	13,928.5	54.9429	13,928.5	56.3345	13,928.5	60.3362	13,928.5	64.4104	13,928.5	67.2526
14,928.2	51.6586	14,928.2	55.4396	14,928.2	56.9717	14,928.2	56.5674	14,928.2	48.4585	14,928.2	58.8636	14,928.2	67.5535
15,999.8	50.152	15,999.8	54.4318	15,999.8	56.5575	15,999.8	58.1776	15,999.8	57.4207	15,999.8	52.0347	15,999.8	65.6155
17,148.2	53.8645	17,148.2	55.3306	17,148.2	54.5239	17,148.2	53.484	17,148.2	53.0846	17,148.2	29.8985	17,148.2	61.0066
18,379.4	54.7001	18,379.4	55.7617	18,379.4	53.9319	18,379.4	52.5614	18,379.4	56.399	18,379.4	53.1432	18,379.4	47.9754
19,698.5	57.754	19,698.5	58.7808	19,698.5	55.4725	19,698.5	42.3528	19,698.5	44.9552	19,698.5	47.16	19,698.5	47.3072
19,999.5	58.1718	19,999.5	59.3588	19,999.5	54.9507	19,999.5	46.2103	19,999.5	45.9004	19,999.5	45.6139	19,999.5	41.3587
